Disciplina;Género;ayudan;dependencia-tecnológica;explicaciones-claras;información-segura;manejan-datos;mejorar-habilidades;no-pensamiento-crítico;no-respetan-privacidad;parte-integral;respuestas-confiables;ético
Otras;Masculino;"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Masculino;"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Masculino;"Completamente de acuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo"
Otras;Masculino;"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
TIC;Femenino;"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Masculino;"Completamente de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo"
TIC;Femenino;"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo"
TIC;Femenino;"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
TIC;Femenino;"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
TIC;Femenino;"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo"
TIC;"Prefiero no decirlo";"Completamente de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo"
Otras;Femenino;"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Masculino;"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Más bien en desacuerdo";"Más bien en desacuerdo"
TIC;Masculino;"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Estoy en desacuerdo";"Más bien de acuerdo";"Estoy en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Estoy en desacuerdo"
Otras;Masculino;"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo"
TIC;Masculino;"Más bien de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo"
TIC;Femenino;"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo"
Otras;Femenino;"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Femenino;"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
Otras;Masculino;"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Masculino;"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Femenino;"Ni estoy de acuerdo ni en desacuerdo";"Estoy en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
Otras;Masculino;"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo"
TIC;Masculino;"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo"
TIC;Masculino;"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Masculino;"Completamente de acuerdo";"Estoy en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Estoy en desacuerdo";"Completamente de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
Otras;Femenino;"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Masculino;"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo"
Otras;Femenino;"Completamente de acuerdo";"Estoy en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Estoy en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
TIC;Masculino;"Más bien de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
TIC;Masculino;"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo"
TIC;Masculino;"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Femenino;"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Masculino;"Completamente de acuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Más bien en desacuerdo"
TIC;Masculino;"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo"
TIC;Femenino;"Completamente de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo"
Otras;Femenino;"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo"
Otras;Masculino;"Completamente de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo"
TIC;Masculino;"Más bien de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo"
TIC;Masculino;"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo"
FFL;Femenino;"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo"
FFL;Femenino;"Completamente de acuerdo";"Completamente de acuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Estoy en desacuerdo";"Estoy en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo"
TIC;Masculino;"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Estoy en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Completamente de acuerdo"
TIC;Masculino;"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien en desacuerdo";"Más bien en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
TIC;Femenino;"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien en desacuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo"
FFL;Femenino;"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Ni estoy de acuerdo ni en desacuerdo"
TIC;Masculino;"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo"
TIC;Masculino;"Completamente de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Ni estoy de acuerdo ni en desacuerdo";"Más bien en desacuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo";"Completamente de acuerdo";"Más bien de acuerdo";"Más bien de acuerdo"
